Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,ArrDelay,DepDelay,Origin,Dest,delay,Meantemp,Meandewpoint,Meanhumidity,Meansealevelpre,Meanvisibility,Meanwindspeed,Rainfall,Cloudcover,Meantemp_arr,Meandewpoint_arr,Meanhumidity_arr,Meansealevelpre_arr,Meanvisibility_arr,Meanwindspeed_arr,Rainfall_arr,Cloudcover_arr,airport,city,state,country,lat,long,airport_arr,city_arr,state_arr,country_arr,lat_arr,long_arr
2008,5,7,3,2005,2115,WN,2.0,-1.0,SJC,ONT,1,15.0,5.0,60.0,1018.0,16.0,13.0,0.00,2.0,14.0,10.0,79.0,1016.0,11.0,15.0,T,8.0,San Jose International,San Jose,CA,USA,37.36186194,-121.92900890000001,Ontario International,Ontario,CA,USA,34.056,-117.60119440000001
2008,11,3,1,611,712,YV,-7.0,-2.0,ROA,IAD,0,15.0,8.0,73.0,1033.0,12.0,5.0,T,6.0,12.0,6.0,79.0,1033.0,14.0,3.0,T,8.0,Roanoke Regional/ Woodrum ,Roanoke,VA,USA,37.32546833,-79.97542833,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
2008,3,2,7,1216,1451,AS,2.0,-3.0,SEA,ANC,1,6.0,-1.0,73.0,1037.0,16.0,8.0,0.00,5.0,-3.0,-13.0,62.0,1008.0,16.0,12.0,0.00,6.0,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.30931310000001,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
2008,6,13,5,550,640,MQ,-9.0,-12.0,ABI,DFW,0,13.0,4.0,66.0,1020.0,16.0,6.0,0.25,5.0,32.0,18.0,56.0,1015.0,16.0,23.0,0.00,3.0,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
2008,8,11,1,2036,2144,OO,38.0,35.0,ASE,LAX,1,14.0,2.0,62.0,1016.0,16.0,8.0,0.51,2.0,20.0,14.0,76.0,1014.0,13.0,14.0,0.00,4.0,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.40807439999999
2008,11,18,2,1740,2005,OH,16.0,20.0,MHT,CVG,1,-1.0,-13.0,59.0,1020.0,16.0,10.0,0.00,3.0,-2.0,-11.0,61.0,1032.0,16.0,14.0,0.00,3.0,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
2008,2,22,5,1048,1559,UA,15.0,26.0,DEN,DCA,1,3.0,-10.0,58.0,1012.0,16.0,10.0,0.00,3.0,1.0,-9.0,80.0,1025.0,8.0,8.0,7.37,8.0,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
2008,6,28,6,635,930,WN,2.0,-4.0,LAS,DEN,1,34.0,-5.0,12.0,1012.0,16.0,10.0,0.00,0.0,18.0,-4.0,50.0,1028.0,11.0,16.0,0.00,5.0,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
2008,2,15,5,625,720,WN,20.0,17.0,ABQ,ELP,1,7.0,-7.0,43.0,1015.0,16.0,36.0,0.00,7.0,10.0,-11.0,52.0,1019.0,15.0,14.0,3.81,7.0,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,El Paso International,El Paso,TX,USA,31.80666667,-106.37780559999999
2008,8,19,2,855,1045,AA,-9.0,-3.0,LGA,STL,0,23.0,8.0,53.0,1020.0,15.0,20.0,0.00,3.0,23.0,11.0,59.0,1019.0,14.0,7.0,0.00,4.0,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
